
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                  1129:53:11 N/A                                                                     
System                           4 Services                   0        136 K Unknown         N/A                                                    12:53:01 N/A                                                                     
Secure System                  188 Services                   0     66,120 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Registry                       232 Services                   0     24,028 K Unknown         N/A                                                     0:00:19 N/A                                                                     
smss.exe                       704 Services                   0         12 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                     1156 Services                   0      1,380 K Unknown         N/A                                                     0:00:26 N/A                                                                     
wininit.exe                   1288 Services                   0        472 K Unknown         N/A                                                     0:00:00 N/A                                                                     
services.exe                  1364 Services                   0      6,896 K Unknown         N/A                                                     0:06:57 N/A                                                                     
LsaIso.exe                    1384 Services                   0          4 K Unknown         N/A                                                     0:00:04 N/A                                                                     
lsass.exe                     1392 Services                   0     14,964 K Unknown         N/A                                                     0:27:17 N/A                                                                     
svchost.exe                   1592 Services                   0     26,836 K Unknown         N/A                                                     0:15:27 N/A                                                                     
fontdrvhost.exe               1620 Services                   0        156 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WUDFHost.exe                  1652 Services                   0        968 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   1772 Services                   0     22,608 K Unknown         N/A                                                     1:05:24 N/A                                                                     
svchost.exe                   1816 Services                   0      3,548 K Unknown         N/A                                                     0:00:45 N/A                                                                     
WUDFHost.exe                  1900 Services                   0         16 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   1992 Services                   0        724 K Unknown         N/A                                                     0:00:33 N/A                                                                     
svchost.exe                   2004 Services                   0      1,416 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   1116 Services                   0      3,456 K Unknown         N/A                                                     0:00:25 N/A                                                                     
svchost.exe                   1124 Services                   0      2,160 K Unknown         N/A                                                     0:00:24 N/A                                                                     
svchost.exe                    888 Services                   0      1,768 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                   1524 Services                   0      6,432 K Unknown         N/A                                                     0:00:30 N/A                                                                     
svchost.exe                   2196 Services                   0      6,072 K Unknown         N/A                                                     0:04:33 N/A                                                                     
